"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2021-04-27","2506.52","2599.37","2504.23","2599.08","0.00","5109096957.06"
"NEPSE","2021-04-26","2571.5","2579.41","2500.74","2506.62","0.00","6590928202.41"
"NEPSE","2021-04-25","2664.7","2665.56","2563.78","2572.21","0.00","7284194901.09"
"NEPSE","2021-04-22","2647.11","2651.53","2609.02","2648.01","0.00","5915139887.96"
"NEPSE","2021-04-21","2674.82","2675.41","2624.7","2632.21","0.00","5772251202.75"
"NEPSE","2021-04-20","2673.24","2684.77","2645.56","2664.62","0.00","5538617640.49"
"NEPSE","2021-04-19","2716.24","2716.87","2656.58","2661.94","0.00","6766801223.82"
"NEPSE","2021-04-18","2759.9","2760.02","2696.3","2699.51","0.00","8801803214.97"
"NEPSE","2021-04-15","2735.4","2755.3","2731.82","2735.4","0.00","8636668659.43"
"NEPSE","2021-04-13","2698.07","2715.53","2688.18","2714.79","0.00","7143151000.27"
"NEPSE","2021-04-12","2674.5","2694.38","2671.74","2691.56","0.00","7610828049.72"
"NEPSE","2021-04-08","2690.28","2690.28","2672.24","2674.36","0.00","6556616679.95"
"NEPSE","2021-04-07","2694.54","2694.98","2667.91","2671.62","0.00","7266972569.76"
"NEPSE","2021-04-06","2678.96","2678.96","2641.8","2674.47","0.00","7477795737.92"
"NEPSE","2021-04-05","2679.39","2682.27","2639.67","2658.75","0.00","7296760155.82"
"NEPSE","2021-04-04","2658.31","2658.73","2646.05","2657.61","0.00","9006858557.96"
"NEPSE","2021-04-01","2645.5","2645.5","2615.26","2631.9","0.00","7250924123.6"
"NEPSE","2021-03-31","2596.66","2619.15","2592.8","2619.03","0.00","6166900815.53"
"NEPSE","2021-03-30","2545.54","2576.33","2544.96","2575.67","0.00","6185679497.56"
"NEPSE","2021-03-29","2558.23","2562.6","2537.67","2543.52","0.00","4410345029.57"
"NEPSE","2021-03-25","2584.79","2595.88","2543.56","2548.97","0.00","6500806040.03"
"NEPSE","2021-03-24","2549.55","2570.67","2546.05","2570.31","0.00","6674423940.6"
"NEPSE","2021-03-23","2524.43","2531.46","2495.97","2528.96","0.00","5141897169.2"
"NEPSE","2021-03-22","2562.37","2568.36","2509.21","2514.4","0.00","5351337289.75"
"NEPSE","2021-03-21","2494.48","2538.47","2492.27","2538.47","0.00","5919824569.16"
"NEPSE","2021-03-18","2448.72","2476.61","2441.17","2475.09","0.00","4661792186.86"
"NEPSE","2021-03-17","2399.21","2432.4","2390.05","2432.15","0.00","3374552177.73"
"NEPSE","2021-03-16","2400.05","2417.47","2369.52","2391.75","0.00","3375699339.03"
"NEPSE","2021-03-15","2418.51","2432.95","2379.78","2389.19","0.00","4248424066.1"
"NEPSE","2021-03-14","2466.27","2469.43","2397.3","2407.26","0.00","4952722195.34"
"NEPSE","2021-03-10","2476.93","2479.63","2446.09","2458.49","0.00","4100406336.64"
"NEPSE","2021-03-09","2494.05","2494.41","2453.38","2461.88","0.00","4752708147"
"NEPSE","2021-03-07","2519.97","2527.09","2473.08","2485.1","0.00","5005466480.04"
